英文,中文,英文例句,中文例句
breakfast,早餐,I eat breakfast at 7 AM every morning.,我每天早上7點吃早餐。
lunch,午餐,Let's have lunch together today.,今天我們一起吃午餐吧。
dinner,晚餐,We usually have dinner at 6 PM.,我們通常晚上6點吃晚餐。
coffee,咖啡,I drink coffee every morning.,我每天早上都喝咖啡。
tea,茶,Would you like some tea?,你想要一些茶嗎？
water,水,Please drink more water.,請多喝水。
bread,麵包,I bought fresh bread from the bakery.,我從麵包店買了新鮮的麵包。
milk,牛奶,Children need to drink milk for calcium.,孩子需要喝牛奶來補充鈣質。
egg,雞蛋,I like scrambled eggs for breakfast.,我喜歡早餐吃炒蛋。
rice,米飯,Rice is a staple food in Asia.,米飯是亞洲的主食。
meat,肉類,I don't eat red meat often.,我不常吃紅肉。
fish,魚,This fish is very fresh.,這條魚很新鮮。
vegetable,蔬菜,Eating vegetables is good for health.,吃蔬菜對健康有益。
fruit,水果,I eat fruit every day.,我每天都吃水果。
apple,蘋果,An apple a day keeps the doctor away.,一天一蘋果，醫生遠離我。
banana,香蕉,Bananas are rich in potassium.,香蕉富含鉀質。
orange,橘子,I love the taste of fresh orange juice.,我喜歡新鮮柳橙汁的味道。
house,房子,They live in a big house.,他們住在一棟大房子裡。
room,房間,My room is on the second floor.,我的房間在二樓。
kitchen,廚房,The kitchen is the heart of the home.,廚房是家的中心。
bathroom,浴室,I need to use the bathroom.,我需要使用浴室。
bedroom,臥室,My bedroom is very comfortable.,我的臥室很舒適。
living room,客廳,We watch TV in the living room.,我們在客廳看電視。
car,汽車,He drives a red car.,他開一輛紅色的汽車。
bus,公車,I take the bus to work every day.,我每天搭公車上班。
train,火車,The train arrives at 3 PM.,火車下午3點到達。
bicycle,腳踏車,I ride my bicycle to school.,我騎腳踏車上學。
phone,電話,My phone is ringing.,我的電話在響。
computer,電腦,I use my computer for work.,我用電腦工作。
television,電視,We watch the news on television.,我們在電視上看新聞。
book,書,I love reading books.,我喜歡讀書。
newspaper,報紙,He reads the newspaper every morning.,他每天早上都讀報紙。
magazine,雜誌,This magazine has interesting articles.,這本雜誌有有趣的文章。
money,錢,I need to save money for vacation.,我需要存錢去度假。
bank,銀行,I went to the bank to deposit money.,我去銀行存錢。
store,商店,There's a new store in the mall.,商場裡有一家新商店。
market,市場,We buy fresh vegetables at the market.,我們在市場買新鮮蔬菜。
hospital,醫院,The hospital is near the park.,醫院在公園附近。
doctor,醫生,The doctor is very kind.,這位醫生很親切。
nurse,護士,The nurse helped me a lot.,這位護士幫了我很多。
medicine,藥物,Take your medicine on time.,按時吃藥。
school,學校,My children go to school by bus.,我的孩子搭公車上學。
teacher,老師,My teacher is very patient.,我的老師很有耐心。
student,學生,She is a good student.,她是一個好學生。
class,課程,I have English class today.,我今天有英文課。
homework,作業,I need to finish my homework.,我需要完成作業。
work,工作,I go to work at 9 AM.,我早上9點去上班。
office,辦公室,My office is in the city center.,我的辦公室在市中心。
meeting,會議,We have a meeting at 2 PM.,我們下午2點有會議。
friend,朋友,She is my best friend.,她是我最好的朋友。
family,家庭,Family is very important to me.,家庭對我來說很重要。
love,愛,I love my family very much.,我非常愛我的家人。
happy,快樂的,I feel happy today.,我今天感到很快樂。
sad,悲傷的,She looks sad today.,她今天看起來很悲傷。
tired,疲倦的,I am tired after work.,工作後我很疲倦。
hungry,飢餓的,I am hungry, let's eat.,我餓了，我們吃飯吧。
thirsty,口渴的,I am thirsty, I need water.,我口渴了，我需要水。
hot,熱的,It's very hot today.,今天很熱。
cold,冷的,The weather is cold in winter.,冬天天氣很冷。
big,大的,This is a big house.,這是一棟大房子。
small,小的,The cat is small and cute.,這隻貓又小又可愛。
good,好的,This is a good book.,這是一本好書。
bad,壞的,That's a bad idea.,那是個壞主意。
new,新的,I bought a new car.,我買了一輛新車。
old,舊的,This is an old building.,這是一棟舊建築。
clean,乾淨的,Keep your room clean.,保持房間乾淨。
dirty,髒的,The floor is dirty.,地板很髒。
fast,快的,He runs very fast.,他跑得很快。
slow,慢的,The turtle moves slowly.,烏龜移動得很慢。
easy,容易的,This question is easy.,這個問題很容易。
difficult,困難的,This math problem is difficult.,這道數學題很難。
important,重要的,Education is important.,教育很重要。
necessary,必要的,It's necessary to study hard.,努力學習是必要的。
possible,可能的,It's possible to finish on time.,按時完成是可能的。
impossible,不可能的,It's impossible to fly without wings.,沒有翅膀不可能飛行。
right,正確的,Your answer is right.,你的答案是正確的。
wrong,錯誤的,That's the wrong way.,那是錯誤的方向。
same,相同的,We have the same opinion.,我們有相同的意見。
different,不同的,These two books are different.,這兩本書不同。
first,第一的,She is the first to arrive.,她是第一個到達的。
last,最後的,He is the last to leave.,他是最後一個離開的。
next,下一個的,See you next week.,下週見。
previous,前一個的,The previous lesson was easy.,前一課很容易。
always,總是,He always arrives on time.,他總是準時到達。
never,從不,I never eat spicy food.,我從不吃辣的食物。
sometimes,有時候,Sometimes I go to the movies.,有時候我去看電影。
often,經常,She often visits her grandmother.,她經常去看她的祖母。
usually,通常,I usually wake up at 7 AM.,我通常早上7點起床。
today,今天,Today is a beautiful day.,今天是美好的一天。
yesterday,昨天,I went to the park yesterday.,我昨天去了公園。
tomorrow,明天,Tomorrow is my birthday.,明天是我的生日。
morning,早上,Good morning!,早安！
afternoon,下午,Good afternoon!,午安！
evening,晚上,Good evening!,晚安！
night,夜晚,Good night!,晚安！
week,星期,There are seven days in a week.,一星期有七天。
month,月份,January is the first month.,一月是第一個月份。
year,年,Happy New Year!,新年快樂！
time,時間,What time is it?,現在幾點了？
hour,小時,The movie lasts two hours.,這部電影持續兩小時。
minute,分鐘,Wait a minute, please.,請等一下。
second,秒,The race finished in 30 seconds.,比賽在30秒內完成。
weekend,週末,I love the weekend.,我喜歡週末。
holiday,假日,We have a holiday next Monday.,下週一我們放假。
vacation,假期,I'm going on vacation next month.,我下個月要去度假。
birthday,生日,Happy birthday to you!,生日快樂！
party,派對,We're having a party tonight.,我們今晚要舉辦派對。
gift,禮物,Thank you for the gift.,謝謝你的禮物。
card,卡片,I sent her a birthday card.,我寄給她一張生日卡片。
song,歌曲,I love this song.,我喜歡這首歌。
music,音樂,Music makes me happy.,音樂讓我快樂。
dance,跳舞,She loves to dance.,她喜歡跳舞。
sing,唱歌,He sings very well.,他唱歌很好聽。
game,遊戲,Let's play a game.,我們來玩遊戲吧。
sport,運動,I like to play sports.,我喜歡運動。
exercise,運動,Exercise is good for health.,運動對健康有益。
swimming,游泳,I go swimming in the summer.,我夏天去游泳。
running,跑步,I go running every morning.,我每天早上跑步。
walking,走路,I enjoy walking in the park.,我喜歡在公園散步。
weather,天氣,The weather is nice today.,今天天氣很好。
sun,太陽,The sun is shining brightly.,太陽明亮地照耀著。
rain,雨,It's raining today.,今天在下雨。
snow,雪,It snows in winter.,冬天會下雪。
wind,風,The wind is strong today.,今天風很大。
cloud,雲,There are many clouds in the sky.,天空中有很多雲。
temperature,溫度,The temperature is 25 degrees.,溫度是25度。
season,季節,Spring is my favorite season.,春天是我最喜歡的季節。
spring,春天,Flowers bloom in spring.,花朵在春天綻放。
summer,夏天,It's hot in summer.,夏天很熱。
autumn,秋天,Leaves fall in autumn.,樹葉在秋天落下。
winter,冬天,It's cold in winter.,冬天很冷。 
