I,我,I am a student.,我是一名學生。
you,你；你們,You are my friend.,你是我的朋友。
he,他,He has a dog.,他有一隻狗。
she,她,She is my sister.,她是我姐姐。
it,牠；它,It is a cat.,牠是一隻貓。
we,我們,We like pizza.,我們喜歡披薩。
they,他們,They are in the park.,他們在公園裡。
boy,男孩,The boy is playing soccer.,那個男孩在踢足球。
girl,女孩,The girl is reading a book.,那個女孩在讀書。
baby,嬰兒,The baby is sleeping.,嬰兒正在睡覺。
a an,一個,I see a bird.,我看到一隻鳥。
the,這 那,The sun is bright.,太陽很耀眼。
this,這,This is my pen.,這是我的筆。
that,那,That is her bag.,那是她的包包。
these,這些,These are apples.,這些是蘋果。
those,那些,Those are my shoes.,那些是我的鞋子。
be,是；成為,Be kind to others.,對別人要友善。
do,助動詞,Do you like music?,你喜歡音樂嗎？
father,爸爸,My father is a doctor.,我爸爸是醫生。
mother,媽媽,My mother cooks dinner.,我媽媽煮晚餐。
英文,中文,英文句子,中文翻譯
son,兒子,My son plays basketball after school.,我兒子放學後會打籃球。
daughter,女兒,My daughter loves to draw.,我女兒喜歡畫畫。
grandmother,(外)祖母,My grandmother makes yummy cookies.,我的祖母會做美味的餅乾。
grandfather,(外)祖父,My grandfather tells funny stories.,我的祖父會講有趣的故事。
brother,哥哥；弟弟,My brother is playing video games.,我哥哥正在玩電動。
sister,姊姊；妹妹,My sister sings very well.,我姊姊唱歌很好聽。
zero,零,There are zero apples left.,一顆蘋果都不剩了。
one,一,I have one pencil in my bag.,我的書包裡有一支鉛筆。
two,二,She has two cats at home.,她家裡有兩隻貓。
three,三,We saw three birds in the tree.,我們看到樹上有三隻鳥。
four,四,Four chairs are around the table.,桌子旁有四張椅子。
five,五,I wake up at five o’clock.,我五點起床。
six,六,We go jogging at six in the morning.,我們早上六點去慢跑。
seven,七,The bus comes at seven.,公車七點來。
eight,八,My class starts at eight.,我的課八點開始。
nine,九,There are nine students in the group.,這組裡有九位學生。
