word,zh,en_sentence,zh_sentence
American,美國人,My teacher is an American.,我的老師是一位美國人。
Dr.,博士；醫生,Dr. Lee helps patients feel better.,李醫生幫助病人感覺好一點。
Easter,復活節,We hunt for eggs on Easter.,復活節我們去尋蛋。
Father's Day,父親節,We give gifts on Father's Day.,我們在父親節送禮物。
Halloween,萬聖節,We wear costumes and go trick-or-treating on Halloween.,萬聖節時我們穿上服裝去要糖果。
Internet,網際網路,I research information on the Internet for my report.,我在網際網路上查資料做報告。
Moon Festival,中秋節,We eat mooncakes on Moon Festival.,中秋節我們吃月餅。
Mother's Day,母親節,We give flowers on Mother's Day.,我們在母親節送花。
Ms.,小姐,Ms. Chen is our new English teacher.,陳小姐是我們的新英語老師。
R.O.C.,中華民國,The flag of the R.O.C. flies on the building.,中華民國的國旗飄揚在那棟建築上。
Teacher's Day,教師節,We give cards on Teacher's Day.,我們在教師節送卡片。
USA,美國,He hopes to study in the USA.,他希望到美國念書。
about,大約；關於,This book is about animals.,這本書是關於動物的。
abroad,到國外；在國外,She studies abroad next year.,她明年到國外念書。
across,橫越；穿過,We walk across the bridge.,我們穿過那座橋。
actress,女演員,The actress performed on stage.,那位女演員在舞臺上表演。
afraid,害怕的,She is afraid of spiders.,她害怕蜘蛛。
after,在…之後,Let's play soccer after school.,放學之後我們來踢足球。
again,再一次,Please say that again.,請再說一次。
agree,同意,I agree with your idea.,我同意你的想法。
air,空氣,Open the window to let fresh air into the room.,打開窗戶讓新鮮空氣進入房間。
airplane,飛機,The airplane flies above the clouds.,飛機飛在雲上。
airport,機場,They arrived at the airport early in the morning.,他們一大早就到達機場。
all,全部的；整個的,All students must bring their books.,所有學生都必須帶書來。
almost,幾乎,I almost missed the bus.,我差點錯過公車。
along,沿著,We walk along the river every weekend.,我們每個週末沿著河邊散步。
already,已經,I already finished my lunch.,我已經吃完午餐了。
also,也,"I like ice cream, and I also like cake.",我喜歡冰淇淋，也喜歡蛋糕。
although,雖然,"Although it was raining, they still played soccer.",雖然下雨，他們仍然踢足球。
another,另一個的,I want another piece of cake.,我想要另一塊蛋糕。
anything,任何事情,Is there anything I can help with?,有什麼我可以幫忙的嗎？
apartment,公寓,She lives in an apartment building.,她住在一棟公寓大樓裡。
appear,出現,A rainbow will appear after the rain.,雨後會出現彩虹。
arm,手臂,He holds the book in his arm.,他用手臂抱著書。
around,在…附近,There are many shops around the school.,學校附近有很多商店。
arrive,到達,We arrive at school at eight o'clock.,我們八點到達學校。
as,作為；依照,She works as a volunteer on weekends.,她週末作為志工工作。
attack,攻擊,The cat tried to attack the mouse.,那隻貓想攻擊那隻老鼠。
autumn,秋季；秋天,Leaves change color in autumn.,葉子在秋天變色。
away,離…多遠,The school is two kilometers away.,學校離這裡兩公里遠。
badminton,羽球,They play badminton after school.,他們放學後打羽球。
bake,烘焙,My mom will bake a cake for my birthday.,我媽媽會為我的生日烘焙蛋糕。
bakery,麵包店,The bakery near my house sells fresh bread.,我家附近的麵包店賣新鮮麵包。
band,樂團,The band plays music at the concert.,那個樂團在音樂會上演奏。
barbecue,烤肉；烤肉野餐,They barbecue chicken in the backyard on weekends.,他們週末在後院烤雞。
base,基地；總部,The scouts set up base near the lake.,童子軍在湖邊建立了基地。
basket,籃子,I carry apples in a basket to the picnic.,我用籃子把蘋果帶到野餐。
bath,澡,I take a bath every night.,我每天晚上洗澡。
beach,海灘,We built a sandcastle on the beach yesterday.,我們昨天在海灘上堆了一座沙堡。
because,因為,I am happy because I passed the test.,因為我考試及格，所以很開心。
become,變成；成為,He wants to become a doctor when he grows up.,他長大後想成為一名醫生。
