單字,翻譯,英文例句,中文例句
abandon,放棄,He decided to abandon the project due to lack of funds.,他決定因為缺乏資金而放棄這個專案。
ability,能力,Communication skills are an essential ability in business.,溝通技巧是商業中必備的能力。
aboard,在船上/飛機上,All passengers must be aboard before takeoff.,所有乘客必須在起飛前登機。
abolish,廢除,The company decided to abolish outdated policies.,公司決定廢除過時的政策。
abroad,國外,She studied abroad for two years in Canada.,她在加拿大留學了兩年。
absence,缺席,His absence from the meeting caused a delay.,他缺席會議導致了延誤。
absent,缺席的,The teacher marked him absent from class.,老師把他記為缺席。
absolute,絕對的,The manager has absolute authority over hiring decisions.,經理在聘僱決策上有絕對權力。
absorb,吸收,The market quickly absorbed the new product.,市場很快吸收了這款新產品。
abstract,摘要、抽象的,Please provide a short abstract of your research.,請提供一份研究的簡短摘要。
abundance,豐富,The country is known for its abundance of natural resources.,這個國家以自然資源豐富聞名。
abundant,豐富的,The evidence is abundant and convincing.,證據充足且令人信服。
abuse,濫用,He was accused of abusing his position for personal gain.,他被指控濫用職權以謀取私利。
academic,學術的,She has an outstanding academic background.,她有傑出的學術背景。
accelerate,加速,The new policy will accelerate economic growth.,新政策將加速經濟成長。
acceptance,接受,His acceptance of the job offer surprised everyone.,他接受這份工作邀請讓大家很意外。
access,進入、存取,Only managers have access to the confidential files.,只有經理能存取這些機密檔案。
accessible,可接近的,The office is easily accessible by subway.,這間辦公室搭地鐵就能輕鬆抵達。
accessory,配件,She bought new phone accessories yesterday.,她昨天買了新的手機配件。
accident,意外,He was late because of a traffic accident.,他因為交通事故遲到了。
accommodate,容納、適應,The hotel can accommodate up to 500 guests.,這家飯店可容納多達500位客人。
accommodation,住宿,We booked our accommodation near the conference hall.,我們訂了靠近會議廳的住宿。
accompany,陪同,She will accompany the CEO on his business trip.,她將陪同執行長出差。
accomplish,完成,He accomplished all the tasks on time.,他準時完成了所有任務。
accomplishment,成就,Winning the award was his greatest accomplishment.,獲得那個獎項是他最大的成就。
account,帳戶、說明,She opened a new bank account yesterday.,她昨天開了一個新的銀行帳戶。
accountant,會計師,The accountant reviewed the company’s expenses.,會計師審查了公司的支出。
accounting,會計,She is studying accounting at university.,她在大學主修會計。
accuracy,精確,The report must be checked for accuracy.,這份報告必須檢查其準確性。
accurate,正確的,The data provided was accurate and reliable.,提供的數據正確且可靠。
accuse,指控,He was accused of stealing company property.,他被指控偷竊公司財產。
achieve,達成,They achieved their sales target this quarter.,他們這季度達成了銷售目標。
achievement,成就,Her latest achievement was publishing a best-selling book.,她最近的成就是出版了一本暢銷書。
acknowledge,承認、致謝,He acknowledged his mistake during the meeting.,他在會議上承認了自己的錯誤。
acquire,獲得,The company plans to acquire a smaller competitor.,公司計劃收購一家小型競爭對手。
acquisition,收購,The acquisition was finalized last month.,這項收購在上個月完成。
act,行動、扮演,We must act quickly to solve this issue.,我們必須迅速行動來解決這個問題。
action,行動,Immediate action is required to fix the problem.,必須立即採取行動解決這個問題。
active,活躍的,She is an active member of the marketing team.,她是行銷團隊中活躍的一員。
activity,活動,The company organized a team-building activity.,公司舉辦了一場團隊建立活動。
actor,演員,He is a famous Hollywood actor.,他是一位著名的好萊塢演員。
actual,實際的,The actual cost was higher than expected.,實際成本比預期高。
adapt,適應,She quickly adapted to the new work environment.,她很快適應了新的工作環境。
adaptation,適應、改編,The movie is an adaptation of a popular novel.,這部電影是熱門小說的改編。
add,增加,Please add my name to the guest list.,請把我的名字加到賓客名單上。
addition,增加、加法,"In addition to English, he speaks French.",除了英文，他還會說法文。
additional,額外的,The company offered additional training for staff.,公司提供了額外的員工培訓。
address,地址、演說,Please send the package to this address.,請把包裹寄到這個地址。
adequate,足夠的,The budget is adequate for the project.,預算足以支應這個專案。
adjust,調整,She had to adjust her schedule to attend the meeting.,她必須調整行程來參加會議。
administration,管理、行政,The new administration introduced several policies.,新的管理層推行了幾項政策。
admire,欣賞、敬佩,I really admire her leadership skills.,我非常敬佩她的領導才能。
admission,入場、錄取,He received admission to a top university.,他被一所頂尖大學錄取。
admit,承認、允許進入,She admitted her mistake during the interview.,她在面試中承認了自己的錯誤。
