英文,中文,英文例句,中文例句
meeting,會議,We have a meeting at 2 PM today.,我們今天下午2點有會議。
presentation,簡報,She gave an excellent presentation.,她做了一個出色的簡報。
conference,會議,The annual conference will be held next month.,年度會議將在下個月舉行。
agenda,議程,Please review the meeting agenda.,請查看會議議程。
minutes,會議記錄,The secretary took minutes during the meeting.,秘書在會議中做記錄。
deadline,截止日期,The project deadline is next Friday.,專案截止日期是下週五。
schedule,時間表,Please check your schedule for next week.,請查看下週的時間表。
appointment,約會,I have an appointment with the client.,我與客戶有約會。
interview,面試,She has a job interview tomorrow.,她明天有工作面試。
resume,履歷,Please send your resume by email.,請透過電子郵件寄送履歷。
application,申請,Submit your application before the deadline.,在截止日期前提交申請。
position,職位,This is an excellent position for you.,這對你來說是個很好的職位。
salary,薪資,The salary for this position is competitive.,這個職位的薪資很有競爭力。
benefits,福利,The company offers excellent benefits.,公司提供優良的福利。
promotion,晉升,She received a promotion last month.,她上個月獲得晉升。
raise,加薪,He asked for a raise during the review.,他在考核期間要求加薪。
bonus,獎金,Employees receive a bonus at the end of the year.,員工在年底會收到獎金。
overtime,加班,He worked overtime last week.,他上週加班。
vacation,假期,How many vacation days do you have?,你有多少天假期？
sick leave,病假,She took sick leave yesterday.,她昨天請病假。
contract,合約,Please review the contract before signing.,簽署前請查看合約。
agreement,協議,We reached an agreement on the terms.,我們就條款達成協議。
negotiation,談判,The negotiation lasted for three hours.,談判持續了三個小時。
proposal,提案,Please submit your proposal by Friday.,請在週五前提交提案。
budget,預算,We need to stay within the budget.,我們需要保持在預算內。
expense,費用,Please submit your expense report.,請提交費用報告。
revenue,收入,The company's revenue increased this year.,公司今年的收入增加了。
profit,利潤,The business made a good profit.,這項業務獲得了良好的利潤。
loss,虧損,The company reported a loss this quarter.,公司本季度報告虧損。
investment,投資,This is a good investment opportunity.,這是一個好的投資機會。
market,市場,The market is very competitive.,市場競爭激烈。
customer,客戶,We need to satisfy our customers.,我們需要讓客戶滿意。
client,客戶,The client is very important to us.,這個客戶對我們很重要。
supplier,供應商,We have reliable suppliers.,我們有可靠的供應商。
vendor,供應商,The vendor delivered the goods on time.,供應商準時交付貨物。
product,產品,This is our best-selling product.,這是我們最暢銷的產品。
service,服務,We provide excellent customer service.,我們提供優良的客戶服務。
quality,品質,Quality is our top priority.,品質是我們的首要任務。
efficiency,效率,We need to improve efficiency.,我們需要提高效率。
productivity,生產力,Productivity has increased this month.,本月的生產力提高了。
performance,表現,Her performance has been excellent.,她的表現一直很出色。
evaluation,評估,The annual evaluation is next week.,年度評估在下週。
feedback,回饋,Please provide feedback on the project.,請對專案提供回饋。
improvement,改進,We need to make improvements to the process.,我們需要改進流程。
innovation,創新,Innovation is key to success.,創新是成功的關鍵。
strategy,策略,What's our marketing strategy?,我們的行銷策略是什麼？
plan,計畫,We need to develop a plan.,我們需要制定計畫。
goal,目標,What are your goals for this year?,你今年的目標是什麼？
objective,目標,The objective is to increase sales.,目標是增加銷售。
target,目標,We need to meet our sales targets.,我們需要達到銷售目標。
achievement,成就,This is a great achievement.,這是一個偉大的成就。
success,成功,Success comes from hard work.,成功來自努力工作。
failure,失敗,Don't be afraid of failure.,不要害怕失敗。
challenge,挑戰,This is a challenging project.,這是一個具有挑戰性的專案。
opportunity,機會,This is a great opportunity for growth.,這是成長的好機會。
risk,風險,We need to assess the risks.,我們需要評估風險。
competition,競爭,The competition is very strong.,競爭非常激烈。
competitive,有競爭力的,Our prices are very competitive.,我們的價格很有競爭力。
industry,產業,The technology industry is growing fast.,科技產業快速成長。
company,公司,She works for a large company.,她在一家大公司工作。
corporation,企業,This is a multinational corporation.,這是一家跨國企業。
organization,組織,The organization has clear goals.,這個組織有明確的目標。
department,部門,Which department do you work in?,你在哪個部門工作？
team,團隊,We have a great team.,我們有一個很棒的團隊。
colleague,同事,My colleagues are very helpful.,我的同事很樂於助人。
manager,經理,The manager approved the proposal.,經理批准了提案。
supervisor,主管,My supervisor is very supportive.,我的主管很支持我。
director,董事,The director made the final decision.,董事做出最終決定。
executive,主管,The executives met yesterday.,主管們昨天開會。
CEO,執行長,The CEO announced the new strategy.,執行長宣布了新策略。
board,董事會,The board will meet next week.,董事會下週開會。
shareholder,股東,Shareholders are concerned about profits.,股東關心利潤。
stakeholder,利害關係人,We need to consider all stakeholders.,我們需要考慮所有利害關係人。
partnership,合作關係,We formed a partnership with them.,我們與他們建立了合作關係。
alliance,聯盟,The alliance will benefit both companies.,這個聯盟將使兩家公司受益。
merger,合併,The merger was completed last month.,合併在上個月完成。
acquisition,收購,The acquisition cost was high.,收購成本很高。
expansion,擴張,The company plans expansion into Asia.,公司計劃擴張到亞洲。
growth,成長,The business shows strong growth.,這項業務顯示強勁成長。
development,發展,Product development takes time.,產品開發需要時間。
research,研究,We need to do more research.,我們需要做更多研究。
analysis,分析,The analysis shows positive results.,分析顯示正面結果。
report,報告,Please submit the monthly report.,請提交月度報告。
